CustomerID,LookalikeID,SimilarityScore
C0001,C0194,0.4046753097701863
C0001,C0104,0.3682146457227448
C0001,C0020,0.35411060097633584
C0002,C0030,0.40669945164346005
C0002,C0091,0.38329159763506726
C0002,C0071,0.3276128685049274
C0003,C0181,0.4774955584156292
C0003,C0134,0.47177322886985956
C0003,C0144,0.4244692030077134
C0004,C0070,0.3497298958175524
C0004,C0175,0.3211501061301438
C0004,C0105,0.2790151370688862
C0005,C0096,0.46855267759639746
C0005,C0023,0.4581064250145356
C0005,C0055,0.38324851065323956
C0006,C0040,0.48745040469194345
C0006,C0178,0.3933565419524547
C0006,C0171,0.26847995991243623
C0007,C0079,0.6143544471570511
C0007,C0118,0.4777084394772941
C0007,C0020,0.4517310794591933
C0008,C0144,0.3184956167743455
C0008,C0169,0.28001852010868417
C0008,C0091,0.2600850755631743
C0009,C0083,0.593856531764296
C0009,C0180,0.567871543437555
C0009,C0140,0.5364029830385133
C0010,C0094,0.5203571498698375
C0010,C0092,0.4058802185439187
C0010,C0143,0.3549860342077158
C0011,C0135,0.5127936763414401
C0011,C0120,0.3632022342600068
C0011,C0173,0.3047352128603037
C0012,C0164,0.4849795762368218
C0012,C0158,0.37541791118225654
C0012,C0173,0.36115098650615896
C0013,C0169,0.45224027920042953
C0013,C0092,0.36197722269271254
C0013,C0099,0.3284703617140383
C0014,C0128,0.914023951525709
C0014,C0159,0.7278796793980565
C0014,C0180,0.6097724145850967
C0015,C0073,0.7221118529192896
C0015,C0036,0.6047095798026554
C0015,C0059,0.4053231437077943
C0016,C0187,0.634607601463652
C0016,C0064,0.5406772040589007
C0016,C0052,0.455700239307452
C0017,C0071,0.4439541396069142
C0017,C0024,0.35876406128842586
C0017,C0037,0.3572321415082073
C0018,C0177,0.3607930683244903
C0018,C0115,0.32327994155714307
C0018,C0059,0.31611965052499574
C0019,C0064,0.3927367326090135
C0019,C0024,0.3834630111462287
C0019,C0084,0.30673182037866675
C0020,C0026,0.6009702000975182
C0020,C0007,0.4517310794591933
C0020,C0119,0.42961801867222094
